VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y
301, 67,  0.15562,  1.90904,  0.6554, -0.16249, -0.40921,  0.89786, -0.98341,  0.14155, -0.11346, -1.00,  0.77531,  0.54712,  0.77531,  0.54712,  0.77531,  0.54712
302, 75,  0.25137,  1.85725,  0.64139, -0.02056, -0.53522,  0.84446, -0.99665,  0.07781,  0.02505, -1.00,  0.76452,  0.54247,  0.76452,  0.54247,  0.76452,  0.54247
303, 65,  0.41925,  1.66034,  0.44319,  0.51609, -0.66147,  0.54416, -0.81896, -0.19497,  0.53971, -1.00,  0.73953,  0.51046,  0.73953,  0.51046,  0.73953,  0.51046
304, 75,  0.25137,  1.85725,  0.64139, -0.02056, -0.53522,  0.84446, -0.99665,  0.07781,  0.02505, -1.00,  0.76452,  0.54247,  0.76452,  0.54247,  0.76452,  0.54247
305, 66,  0.2453,  1.68649,  0.49719,  0.08461, -0.77056,  0.63172, -0.99533, -0.03574,  0.08972, -1.00,  0.76157,  0.51732,  0.76157,  0.51732,  0.76157,  0.51732
306, 72,  0.25948,  1.96293,  0.68315,  0.04454, -0.01973,  0.99881, -0.99695,  0.06318,  0.04571, -1.00,  0.7645,  0.55529,  0.7645,  0.55529,  0.7645,  0.55529
307, 75,  0.25137,  1.85725,  0.64139, -0.02056, -0.53522,  0.84446, -0.99665,  0.07781,  0.02505, -1.00,  0.76452,  0.54247,  0.76452,  0.54247,  0.76452,  0.54247
308, 76,  0.57362,  1.8831,  0.60702,  0.69327, -0.28331,  0.66265, -0.72067, -0.26772,  0.63951, -1.00,  0.73217,  0.54574,  0.73217,  0.54574,  0.73217,  0.54574
309, 74,  0.55741,  2.05713,  0.58514,  0.32053,  0.90404,  0.2828, -0.58446, -0.04619,  0.8101, -1.00,  0.7266,  0.56341,  0.7266,  0.56341,  0.7266,  0.56341
310, 72,  0.25948,  1.96293,  0.68315,  0.04454, -0.01973,  0.99881, -0.99695,  0.06318,  0.04571, -1.00,  0.7645,  0.55529,  0.7645,  0.55529,  0.7645,  0.55529
311, 76,  0.57362,  1.8831,  0.60702,  0.69327, -0.28331,  0.66265, -0.72067, -0.26772,  0.63951, -1.00,  0.73217,  0.54574,  0.73217,  0.54574,  0.73217,  0.54574
312, 76,  0.57362,  1.8831,  0.60702,  0.69327, -0.28331,  0.66265, -0.72067, -0.26772,  0.63951, -1.00,  0.73217,  0.54574,  0.73217,  0.54574,  0.73217,  0.54574
313, 75,  0.25137,  1.85725,  0.64139, -0.02056, -0.53522,  0.84446, -0.99665,  0.07781,  0.02505, -1.00,  0.76452,  0.54247,  0.76452,  0.54247,  0.76452,  0.54247
